id,fdc_id,seq_num,amount,measure_unit_id,portion_description,modifier,gram_weight
88405,171300,4,1,9999,,container (8 oz),227
88406,171300,5,1,9999,,"container, Dannon Sprinkl'ins (4.1 oz)",116
88407,171300,6,0,9999,,container (4 oz),113
88408,171301,1,1,9999,,cup,247
88409,171301,2,1,9999,,bottle,989
88410,171302,1,1,9999,,cup,252
88411,171302,2,1,9999,,fl oz,31.5
88412,171302,3,1,9999,,can (13 oz),369
88413,171302,4,0.5,9999,,cup,126
88414,171303,1,1,9999,,cup,250
88415,171303,2,1,9999,,fl oz,31.2
88416,171303,3,1,9999,,quart,1000
88417,171315,1,1,9999,,tsp,1.9
88418,171315,2,1,9999,,tbsp,6
88419,171316,1,1,9999,,"tsp, whole",2.1
88420,171316,2,1,9999,,"tbsp, whole",6.7
88421,171317,1,1,9999,,"tsp, leaves",0.7
88422,171317,2,1,9999,,"tbsp, leaves",2.1
88423,171317,3,1,9999,,"tsp, ground",1.4
88424,171317,4,1,9999,,"tbsp, ground",4.5
88425,171318,1,1,9999,,tsp,0.6
88426,171318,2,1,9999,,tbsp,1.9
88427,171319,1,1,9999,,tsp,2.7
88428,171319,2,1,9999,,tbsp,8
88429,171320,1,1,9999,,tsp,2.6
88430,171320,2,1,9999,,tbsp,7.8
88431,171321,1,1,9999,,tsp,2.1
88432,171321,2,1,9999,,tbsp,6.5
88433,171322,1,1,9999,,tsp,1
88434,171322,2,1,9999,,tbsp,3.1
88435,171323,1,1,9999,,"tsp, whole",2
88436,171323,2,1,9999,,"tbsp, whole",5.8
88437,171324,1,1,9999,,tsp,3.7
88438,171324,2,1,9999,,tbsp,11.1
88439,171325,1,1,9999,,tsp,3.1
88440,171325,2,1,9999,,tbsp,9.7
88441,171326,1,1,9999,,tsp,2.2
88442,171326,2,1,9999,,tbsp,7
88443,171327,1,1,9999,,tsp,2.4
88444,171327,2,1,9999,,tbsp,6.9
88445,171328,1,1,9999,,"tsp, leaves",1
88446,171328,2,1,9999,,"tsp, ground",1.8
88447,171329,1,1,9999,,tsp,2.3
88448,171329,2,1,9999,,tbsp,6.8
88449,171330,1,1,9999,,tsp,2.8
88450,171330,2,1,9999,,tbsp,8.8
88451,171331,1,1,9999,,tsp,1.5
88452,171331,2,1,9999,,tbsp,4.4
88453,171332,1,1,9999,,tsp,1.7
88454,171332,2,1,9999,,tbsp,5.6
88455,171333,1,1,9999,,tsp,1.2
88456,171333,2,1,9999,,tbsp,3.3
88457,171334,1,1,9999,,cup,240
88458,171334,2,1,9999,,tbsp,15
88459,171334,3,1,9999,,oz,28.35
88460,171334,4,1,9999,,jar,170
88461,171334,5,1,9999,,jar Heinz Junior-3 (6 oz),170
88462,171335,1,1,9999,,tbsp,15
88463,171335,2,1,9999,,oz,28.35
88464,171335,3,1,9999,,jar,113
88465,171335,4,1,9999,,jar Gerber Second Food (4 oz),113
88466,171335,5,1,9999,,jar Heinz Strained-2 (4.25 oz),120
88467,171336,1,1,9999,,tbsp,17
88468,171336,2,1,9999,,oz,28.35
88469,171336,3,1,9999,,jar,95
88470,171336,4,1,9999,,container,67
88471,171337,1,1,9999,,tbsp,17
88472,171337,2,1,9999,,oz,28.35
88473,171337,3,1,9999,,jar,95
88474,171337,4,1,9999,,container,67
88475,171338,1,1,9999,,tbsp,16
88476,171338,2,1,9999,,oz,28.35
88477,171338,3,1,9999,,jar,113
88478,171338,4,1,9999,,jar Beech-Nut Baby's First (2.5 oz),71
88479,171338,5,1,9999,,jar Beech-Nut Stage I (4 oz),113
88480,171338,6,1,9999,,jar Gerber First Foods (2.5 oz),71
88481,171338,7,1,9999,,jar Earth's Best (4.5 oz),113
88482,171338,8,1,9999,,jar Gerber Second Food (4 oz),113
88483,171338,9,1,9999,,jar Heinz Strained-2 (4 oz),113
88484,171338,10,1,9999,,jar Heinz Beginner-1 (2.5 oz),71
88485,171339,1,1,9999,,oz,28.35
88486,171339,2,1,9999,,jar,170
88487,171340,1,1,9999,,tbsp,15
88488,171340,2,1,9999,,jar Gerber First Foods (2.5 oz),71
88489,171341,1,1,9999,,tbsp,15
88490,171341,2,1,9999,,oz,28.35
88491,171341,3,1,9999,,"jar, Gerber (4 oz)",113
88492,171341,4,1,9999,,jar,113
88493,171342,1,1,9999,,oz,28.35
88494,171342,2,1,9999,,jar Gerber,128
88495,171343,1,1,9999,,oz,28.35
88496,171343,2,1,9999,,jar,113
88497,171344,1,1,9999,,oz,28.35
88498,171344,2,1,9999,,jar,170
88499,171345,1,1,9999,,oz,28.35
88500,171345,2,1,9999,,jar,113
88501,171346,1,1,9999,,oz,28.35
88502,171346,2,1,9999,,jar,170
88503,171347,1,1,9999,,tbsp,16
88504,171347,2,1,9999,,oz,28.35
88505,171347,3,1,9999,,jar,170
88506,171347,4,1,9999,,jar Gerber Third Foods (6 oz),170
88507,171348,1,1,9999,,oz,28.35
88508,171348,2,1,9999,,jar,113
88509,171349,1,1,9999,,oz,28.35
88510,171349,2,1,9999,,jar Gerber,128
88511,171350,1,1,9999,,oz,28.35
88512,171350,2,1,9999,,jar,113
88513,171351,1,1,9999,,fl oz,31.2
88514,171351,2,1,9999,,bottle Earth's Best (4.2 fl oz),131
88515,171351,3,1,9999,,bottle Heinz Strained (4 fl oz),125
88516,171351,4,1,9999,,bottle NFS,125
88517,171351,5,1,9999,,bottle Beech-Nut Stage 2 (4 fl oz),125
88518,171351,6,1,9999,,bottle Gerber Second Foods (4 fl oz),125
88519,171352,1,1,9999,,fl oz,31.2
88520,171352,2,1,9999,,jar,127
88521,171353,1,1,9999,,fl oz,31.2
88522,171353,2,1,9999,,jar,127
88523,171353,3,1,9999,,bottle (4 fl oz),125
88524,171354,1,1,9999,,fl oz,31.2
88525,171354,2,1,9999,,jar,127
88526,171354,3,1,9999,,bottle Heinz Strained (4 fl oz),125
88527,171354,4,1,9999,,bottle Gerber Second Foods (4 fl oz),125
88528,171354,5,1,9999,,bottle Beech-Nut Stage 3 (4 fl oz),125
88529,171355,1,1,9999,,fl oz,31.2
88530,171355,2,1,9999,,jar,127
88531,171356,1,1,9999,,fl oz,31.2
88532,171356,2,1,9999,,jar,127
88533,171357,1,1,9999,,fl oz,31.2
88534,171357,2,1,9999,,jar,127
88535,171357,3,1,9999,,bottle (4 fl oz),125
88536,171358,1,1,9999,,tbsp,2.4
88537,171358,2,0.5,9999,,oz,15
88538,171359,1,0.5,9999,,oz,15
88539,171360,1,1,9999,,tbsp,3.2
88540,171360,2,0.5,9999,,oz,15
88541,171360,3,0.25,9999,,cup,12.2
88542,171360,4,1,9999,,box,223
88543,171361,1,1,9999,,serving,15
88544,171361,2,0.5,9999,,oz,15
88545,171361,3,1,9999,,tbsp,2.5
88546,171362,1,1,9999,,oz,28.35
88547,171362,2,1,9999,,jar,113
88548,171363,1,1,9999,,oz,28.35
88549,171363,2,1,9999,,jar,170
88550,171364,1,1,9999,,oz,28.35
88551,171364,2,1,9999,,jar,170
88552,171365,1,1,9999,,oz,28.35
88553,171365,2,1,9999,,jar,113
88554,171366,1,1,9999,,oz,28.35
88555,171366,2,1,9999,,jar,170
88556,171367,1,1,9999,,tbsp,5.3
88557,171367,2,1,9999,,packet (.75 oz),21
88558,171368,1,1,9999,,cookie,8
88559,171369,1,1,9999,,oz,28.35
88560,171369,2,1,9999,,cookie,5
88561,171370,1,1,9999,,oz,28.35
88562,171370,2,1,9999,,pretzel,6
88563,171371,1,1,9999,,oz,28.35
88564,171371,2,1,9999,,biscuit,7
88565,171371,3,1,9999,,biscuit,7
88566,171372,1,1,9999,,oz,28.35
88567,171372,2,1,9999,,piece,7
88568,171372,3,1,9999,,rusk,10
88569,171372,4,1,9999,,"toast, Gerber Zwieback",7
88570,171373,1,1,9999,,oz,28.35
88571,171373,2,1,9999,,jar,170
88572,171374,1,1,9999,,oz,28.35
88573,171374,2,1,9999,,jar,113
88574,171375,1,1,9999,,tbsp,15
88575,171375,2,1,9999,,oz,28.35
88576,171375,3,1,9999,,jar,113
88577,171375,4,1,9999,,jar Gerber Second Food (4 oz),113
88578,171375,5,1,9999,,jar Heinz Strained-2 (4 oz),113
88579,171376,1,1,9999,,tbsp,15
88580,171376,2,1,9999,,oz,28.35
88581,171376,3,1,9999,,jar,220
88582,171376,4,1,9999,,jar Gerber Third Foods (6 oz),170
88583,171377,1,1,9999,,tbsp,15
88584,171377,2,1,9999,,oz,28.35
88585,171377,3,1,9999,,jar,170
88586,171377,4,1,9999,,jar Gerber Third Foods (6 oz),170
88587,171377,5,1,9999,,jar Heinz Junior-3 (6 oz),170
88588,171378,1,1,9999,,oz,28.35
88589,171378,2,1,9999,,jar,113
88590,171379,1,1,9999,,cup,229
88591,171379,2,1,9999,,tbsp,14
